COMMAND     PID          USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
Tunnel    41723 danilrybalkin   99u  IPv4 0x16c6d4f4930c4778      0t0  TCP 192.168.1.134:51604->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  100u  IPv4 0x82910aea960f9599      0t0  TCP 192.168.1.134:51606->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  101u  IPv4 0x840067d861594637      0t0  TCP 127.0.0.1:51609->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin  103u  IPv4 0xa89f13983edb2ae2      0t0  TCP 192.168.1.134:63401->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  109u  IPv4 0xa4bde363764bd14b      0t0  TCP 192.168.1.134:60848->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  112u  IPv4 0xf7425a35141137c2      0t0  TCP 192.168.1.134:57612->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  120u  IPv4 0xa98be5c2411c7912      0t0  TCP 192.168.1.134:51626->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  121u  IPv4 0x61526c96ee4108b3      0t0  TCP 192.168.1.134:57950->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  127u  IPv4  0x287da337aa7bf11      0t0  TCP 127.0.0.1:10808->127.0.0.1:54105 (ESTABLISHED)
Tunnel    41723 danilrybalkin  128u  IPv4 0xd845c42fe53de65f      0t0  TCP 192.168.1.134:54106->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  131u  IPv4 0xd63ece14b3e2ea8a      0t0  TCP 192.168.1.134:60847->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  132u  IPv4 0x1758cdd4c45542ad      0t0  TCP 192.168.1.134:59113->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  133u  IPv4 0xc44853200fbbce71      0t0  TCP 192.168.1.134:60846->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  135u  IPv4  0x16a5f88d507b9d9      0t0  TCP 192.168.1.134:59142->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  139u  IPv4 0x3855e8471a433c04      0t0  TCP 192.168.1.134:60849->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  149u  IPv4 0xb4c20c502abde856      0t0  TCP 192.168.1.134:60852->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  150u  IPv4 0xdf6109831d96c9e0      0t0  TCP 192.168.1.134:60855->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  152u  IPv4 0xd7b68d6d51f53c0f      0t0  TCP 192.168.1.134:59162->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  153u  IPv4 0x2be8b759af31ee6e      0t0  TCP 192.168.1.134:59161->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  154u  IPv4 0xa4fc5fd7767a4d50      0t0  TCP 127.0.0.1:10808->127.0.0.1:51661 (ESTABLISHED)
Tunnel    41723 danilrybalkin  159u  IPv4 0xb9ea55e1156044c3      0t0  TCP 192.168.1.134:60856->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  162u  IPv4 0x9715497b2dead706      0t0  TCP 192.168.1.134:60857->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  164u  IPv4 0x7419761ccb25163e      0t0  TCP 192.168.1.134:60858->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  168u  IPv4 0x3211c089db102aa7      0t0  TCP 192.168.1.134:60865->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  171u  IPv4 0xcbe5693057fc1283      0t0  TCP 192.168.1.134:60863->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  172u  IPv4 0xa8fa5e02b1784396      0t0  TCP 192.168.1.134:60864->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  175u  IPv4 0x6f5b6047b6dca95b      0t0  TCP 192.168.1.134:51662->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  176u  IPv4 0xdfe91d7e462e9350      0t0  TCP 192.168.1.134:60879->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  177u  IPv4 0x34c119074daeb2fe      0t0  TCP 192.168.1.134:60867->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  179u  IPv4 0x7da45758e382150d      0t0  TCP 192.168.1.134:60868->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  181u  IPv4 0x736329bb8548b43b      0t0  TCP 192.168.1.134:60869->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  185u  IPv4 0xeed72d16b4de5e1e      0t0  TCP 192.168.1.134:60874->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  187u  IPv4 0xef0350ce597cdef8      0t0  TCP 192.168.1.134:60875->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  189u  IPv4 0x5202516d9d3f547d      0t0  TCP 192.168.1.134:60876->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  192u  IPv4 0x63fcbae108950aeb      0t0  TCP 192.168.1.134:60878->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  194u  IPv4 0x8cce6e8dddef21d4      0t0  TCP 192.168.1.134:60880->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  196u  IPv4 0x30e0daa1cfcb020d      0t0  TCP 192.168.1.134:60881->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  199u  IPv4 0x3355cbe6c0dd815e      0t0  TCP 192.168.1.134:60888->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin  201u  IPv4 0xf854bfb44ac5a75d      0t0  TCP 192.168.1.134:60890->144.31.99.109:443 (ESTABLISHED)
